Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:bedrock:ap-southeast-2:657117630614:inference-profile/*] Bedrock foundation model ARNs require wildcard for model ID. Memory, Logs, Metrics, X-Ray, and Secrets Manager APIs are scoped to project prefix (openclaw/*) or do not support resource-level permissions. Cognito userpool/* is scoped to this account/region. S3 workspace bucket uses /* for object-level read/write.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:secretsmanager:ap-southeast-2:657117630614:secret:openclaw/*] Bedrock foundation model ARNs require wildcard for model ID. Memory, Logs, Metrics, X-Ray, and Secrets Manager APIs are scoped to project prefix (openclaw/*) or do not support resource-level permissions. Cognito userpool/* is scoped to this account/region. S3 workspace bucket uses /* for object-level read/write.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/DefaultPolicy/Resource","Suppressed","[Action::kms:GenerateDataKey*] Bedrock foundation model ARNs require wildcard for model ID. Memory, Logs, Metrics, X-Ray, and Secrets Manager APIs are scoped to project prefix (openclaw/*) or do not support resource-level permissions. Cognito userpool/* is scoped to this account/region. S3 workspace bucket uses /* for object-level read/write.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/DefaultPolicy/Resource","Suppressed","[Action::kms:ReEncrypt*] Bedrock foundation model ARNs require wildcard for model ID. Memory, Logs, Metrics, X-Ray, and Secrets Manager APIs are scoped to project prefix (openclaw/*) or do not support resource-level permissions. Cognito userpool/* is scoped to this account/region. S3 workspace bucket uses /* for object-level read/write.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/DefaultPolicy/Resource","Suppressed","[Action::s3:Abort*] Bedrock foundation model ARNs require wildcard for model ID. Memory, Logs, Metrics, X-Ray, and Secrets Manager APIs are scoped to project prefix (openclaw/*) or do not support resource-level permissions. Cognito userpool/* is scoped to this account/region. S3 workspace bucket uses /* for object-level read/write.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/DefaultPolicy/Resource","Suppressed","[Action::s3:DeleteObject*] Bedrock foundation model ARNs require wildcard for model ID. Memory, Logs, Metrics, X-Ray, and Secrets Manager APIs are scoped to project prefix (openclaw/*) or do not support resource-level permissions. Cognito userpool/* is scoped to this account/region. S3 workspace bucket uses /* for object-level read/write.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/DefaultPolicy/Resource","Suppressed","[Action::s3:GetBucket*] Bedrock foundation model ARNs require wildcard for model ID. Memory, Logs, Metrics, X-Ray, and Secrets Manager APIs are scoped to project prefix (openclaw/*) or do not support resource-level permissions. Cognito userpool/* is scoped to this account/region. S3 workspace bucket uses /* for object-level read/write.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/DefaultPolicy/Resource","Suppressed","[Action::s3:GetObject*] Bedrock foundation model ARNs require wildcard for model ID. Memory, Logs, Metrics, X-Ray, and Secrets Manager APIs are scoped to project prefix (openclaw/*) or do not support resource-level permissions. Cognito userpool/* is scoped to this account/region. S3 workspace bucket uses /* for object-level read/write.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/DefaultPolicy/Resource","Suppressed","[Action::s3:List*] Bedrock foundation model ARNs require wildcard for model ID. Memory, Logs, Metrics, X-Ray, and Secrets Manager APIs are scoped to project prefix (openclaw/*) or do not support resource-level permissions. Cognito userpool/* is scoped to this account/region. S3 workspace bucket uses /* for object-level read/write.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/DefaultPolicy/Resource","Suppressed","[Resource::<WorkspaceBucket53E30B92.Arn>/*] Bedrock foundation model ARNs require wildcard for model ID. Memory, Logs, Metrics, X-Ray, and Secrets Manager APIs are scoped to project prefix (openclaw/*) or do not support resource-level permissions. Cognito userpool/* is scoped to this account/region. S3 workspace bucket uses /* for object-level read/write.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:cognito-idp:ap-southeast-2:657117630614:userpool/*] Bedrock foundation model ARNs require wildcard for model ID. Memory, Logs, Metrics, X-Ray, and Secrets Manager APIs are scoped to project prefix (openclaw/*) or do not support resource-level permissions. Cognito userpool/* is scoped to this account/region. S3 workspace bucket uses /* for object-level read/write.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/OpenClawExecutionRole/DefaultPolicy/Resource","Suppressed","[Resource::*] Bedrock foundation model ARNs require wildcard for model ID. Memory, Logs, Metrics, X-Ray, and Secrets Manager APIs are scoped to project prefix (openclaw/*) or do not support resource-level permissions. Cognito userpool/* is scoped to this account/region. S3 workspace bucket uses /* for object-level read/write.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","OpenClawAgentCore/MemoryExecutionRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","OpenClawAgentCore/MemoryExecutionRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/MemoryExecutionRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:bedrock:ap-southeast-2::foundation-model/*] Memory execution role needs InvokeModel on foundation models for memory extraction. Wildcard required for model ID.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
